tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570264145116819457,positive,1.0,,,Virgin America,,DT_Les,nan,0,I love this graphic.,"[40.74804263, -73.99295302]",2015-02-24 08:49:01,,
570259420287868928,positive,1.0,,,Virgin America,,ElvinaBeck,nan,0,I love the hipster innovation. You are a feel good brand.,,2015-02-24 08:30:15,Los Angeles,Pacific Time (US & Canada)
570258822297579520,neutral,1.0,,,Virgin America,,rjlynch21086,nan,0,will you be making BOS>LAS non stop permanently anytime soon?,,2015-02-24 08:27:52,"Boston, MA ",Eastern Time (US & Canada)
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,nan,0,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... I want free internet,,2015-02-24 08:18:51,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,nan,0,status match program. I applied and it's been three weeks. Called and emailed with no response.,,2015-02-24 07:49:15,,
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,,meredithjlynn,nan,0,What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2015-02-24 07:11:37,,
570217831557677057,neutral,0.6854,,,Virgin America,,AdamSinger,nan,0,do you miss me? Don't worry we'll be togehter very soon.,,2015-02-24 05:44:59,"San Francisco, CA",Central Time (US & Canada)
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,,blackjackpro911,nan,0,amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28,"San Mateo, CA & Las Vegas, NV",
570124596180955136,neutral,0.615,,0.0,Virgin America,,TenantsUpstairs,nan,0,LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2015-02-23 23:34:30,Brooklyn,Atlantic Time (Canada)
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jordanpichler,nan,0,"hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems",,2015-02-23 22:52:29,,Vienna
570094701371469825,neutral,1.0,,,Virgin America,,JCervantezzz,nan,0,Are the hours of operation for the Club at SFO that are posted online current?,,2015-02-23 21:35:43,"California, San Francisco",Pacific Time (US & Canada)
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,,Cuschoolie1,nan,0,"help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&F number at LAX!","[33.94209449, -118.40410103]",2015-02-23 21:10:41,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,,amanduhmccarty,nan,0,"awaiting my return phone call, just would prefer to use your online self-service option :(",,2015-02-23 20:55:30,,Pacific Time (US & Canada)
570076792993611776,positive,1.0,,,Virgin America,,NorthTxHomeTeam,nan,0,this is great news! America could start flights to Hawaii by end of year via,"[33.2145038, -96.9321504]",2015-02-23 20:24:33,Texas,Central Time (US & Canada)
570051991277342720,neutral,0.6207,,,Virgin America,,miaerolinea,nan,0,Nice RT : Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindhteExperience,,2015-02-23 18:46:00,Worldwide,Caracas
570051381534396416,positive,1.0,,,Virgin America,,Nicsplace,nan,0,Moodlighting is the only way to fly! Best experience EVER! Cool and calming. #MoodlitMonday,,2015-02-23 18:43:35,Central Texas,
570045393565691904,positive,1.0,,,Virgin America,,Nicsplace,nan,0,"Done and done! Best airline around, hands down!",,2015-02-23 18:19:47,Central Texas,
570038941497192448,neutral,0.6791,,0.0,Virgin America,,elisha_malulani,nan,0,when can I book my flight to Hawaii??,,2015-02-23 17:54:09,i'm creating a monster ,Pacific Time (US & Canada)
570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,,DannyDouglass,nan,0,Your chat support is not working on your site:,,2015-02-23 17:41:58,"San Francisco, CA",Pacific Time (US & Canada)
570033593394667521,positive,0.6639,,,Virgin America,,jamesferrandini,nan,0,"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!",,2015-02-23 17:32:54,,
570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,nan,0,"Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2015-02-23 17:00:40,Iowa City,Central Time (US & Canada)
570016304284901379,neutral,1.0,,,Virgin America,,GottAmanda,nan,0,plz help me win my bid upgrade for my flight 2/27 LAX--->SEA!!!,"[34.0219817, -118.38591198]",2015-02-23 16:24:11,Los Angeles,
570015408788414464,neutral,0.6578,,0.0,Virgin America,,KGervaise,nan,0,I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,,2015-02-23 16:20:38,Georgia,Pacific Time (US & Canada)
570013523650048002,neutral,1.0,,,Virgin America,,papamurat,nan,0,are flights leaving Dallas for Seattle on time Feb 24?,,2015-02-23 16:13:09,,
570012257549070337,positive,1.0,,,Virgin America,,arieldaie,nan,0,I'm #elevategold for a good reason: you rock!!,,2015-02-23 16:08:07,Los Angeles,
570011341483843584,neutral,0.6799,,,Virgin America,,vacations7,nan,0,DREAM,,2015-02-23 16:04:28,Turks and caicos,
570010571707256832,positive,1.0,,,Virgin America,,ChelseaPoe666,nan,0,wow this just blew my mind,,2015-02-23 16:01:25,Oakland via Midwest ,Atlantic Time (Canada)
570010539499393025,neutral,1.0,,,Virgin America,,BobGlavinVO,nan,0,After last night #tribute #SoundOfMusic #Oscars2015 ! I think agree,,2015-02-23 16:01:17,"New York, NY",Eastern Time (US & Canada)
570009713447825408,neutral,0.6436,,,Virgin America,,lisaaiko,nan,0,All were entertaining,,2015-02-23 15:58:00,,
570009035455344640,neutral,0.6764,,0.0,Virgin America,,grantbrowne,nan,0,"Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,2015-02-23 15:55:18,Worldwide,Central Time (US & Canada)
570006886012973056,positive,0.657,,,Virgin America,,joyabsalon,nan,0,Julie Andrews all the way though was very impressive! NO to,,2015-02-23 15:46:46,Norhtern Virginia,Eastern Time (US & Canada)
570004391731847169,neutral,1.0,,,Virgin America,,2v,nan,0,wish you flew out of Atlanta... Soon?,,2015-02-23 15:36:51,Los Angeles / Atlanta,Eastern Time (US & Canada)
570001194900426752,neutral,0.7118,,0.0,Virgin America,,KSmithFoundHere,nan,0,Julie Andrews. Hands down.,,2015-02-23 15:24:09,,Atlantic Time (Canada)
570000071644872704,neutral,1.0,,,Virgin America,,papamurat,nan,0,Will flights be leaving Dallas for LA on February 24th?,,2015-02-23 15:19:41,,
569996412286582784,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,nan,0,hi! i'm so excited about your $99 LGA->DAL deal- but i've been trying 2 book since last week & the page never loads. thx!,,2015-02-23 15:05:09,"new york, new york",Eastern Time (US & Canada)
569996245462159361,positive,1.0,,,Virgin America,,VinnieFerra,nan,0,you know it. Need it on my spotify stat #guiltypleasures,,2015-02-23 15:04:29,"brooklyn, Ny",Pacific Time (US & Canada)
569990222609412097,positive,0.635,,,Virgin America,,KevinDemsi,nan,0,I'm Lady Gaga!!! She is amazing!,,2015-02-23 14:40:33,"Bali, Republic of Indonesia",Kuala Lumpur
569990163209850881,neutral,0.7007,,,Virgin America,,giffgaffman,nan,0,- Carrie!,,2015-02-23 14:40:19,"UK, USA. ",
569989504431316993,neutral,1.0,,,Virgin America,,HanlonBrohters,nan,0,New marketing song? let us know what you think?,,2015-02-23 14:37:42,"Gold Coast, Australia",Brisbane
569989321698074624,neutral,1.0,,,Virgin America,,emilybg78,nan,0,Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,2015-02-23 14:36:58,"Stockton, CA",Arizona
569989034501500928,negative,1.0,Customer Service Issue,1.0,Virgin America,,rachie1126,nan,0,I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,2015-02-23 14:35:50,"New York, NY",Eastern Time (US & Canada)
569987622484848640,neutral,0.6858,,,Virgin America,,adawson66,nan,0,"all are great , but I have to go with #CarrieUnderwood","[33.57963333, -117.73024772]",2015-02-23 14:30:13,,
569986782567071744,neutral,1.0,,,Virgin America,,SocialPLC,nan,0,"Sorry, Mary Martin had it first!",,2015-02-23 14:26:53,"Twin Cities, Minn.",Eastern Time (US & Canada)
569986348041547778,positive,1.0,,,Virgin America,,jeffreymace01,nan,0,love all three but you really can't beat the classics!,,2015-02-23 14:25:09,,
569982307634794497,neutral,0.6814,,0.0,Virgin America,,1stcrown,nan,0,Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,,2015-02-23 14:09:06,USA,Central Time (US & Canada)
569976620158578688,negative,1.0,Customer Service Issue,1.0,Virgin America,,onerockgypsy,nan,0,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,2015-02-23 13:46:30,next city,Pacific Time (US & Canada)
569973821396152323,negative,1.0,Late Flight,0.6789,Virgin America,,noelduan,nan,0,"Hi, Virgin! I'm on hold for 40-50 minutes -- are htere any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2015-02-23 13:35:23,SF ↔ NY,Eastern Time (US & Canada)
569972508499283968,positive,0.6922,,,Virgin America,,Travelzoo,nan,0,Congrats on winning the award for Best Deals from an Airline (US),,2015-02-23 13:30:10,"New York, NY",Pacific Time (US & Canada)
569967019958730753,negative,1.0,Lost Luggage,1.0,Virgin America,,gianagon,nan,0,everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2015-02-23 13:08:21,New York + Panama,Eastern Time (US & Canada)
569961866224652288,neutral,1.0,,,Virgin America,,bxchen,nan,0,Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,2015-02-23 12:47:52,"San Francisco, CA",Eastern Time (US & Canada)
569949891163615232,neutral,0.6492,,0.0,Virgin America,,seimatrun,nan,0,I emailed your customer service team. Let me know if you need the tracking number.,,2015-02-23 12:00:17,Los Angeles,
569948966873370625,neutral,1.0,,,Virgin America,,jamied7,nan,0,"hi I just booked a flight but need to add baggage, how can I do this?",,2015-02-23 11:56:37,"London, England",London
569946362126602240,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,nan,0,your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors?,,2015-02-23 11:46:16,Los Angeles,
569942903683813376,positive,1.0,,,Virgin America,,mrmichaellay,nan,0,"not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2015-02-23 11:32:31,Floridian from Cincinnati ,Eastern Time (US & Canada)
569941957490774016,positive,1.0,,,Virgin America,,TaylorLumsden,nan,0,awesome. I flew yall Sat morning. Any way we can correct my bill ?,,2015-02-23 11:28:46,"Dallas, Texas",Mountain Time (US & Canada)
569940834994401280,neutral,1.0,,,Virgin America,,campusmoviefest,nan,0,"Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet",,2015-02-23 11:24:18,USA,Eastern Time (US & Canada)
569940323746516993,neutral,1.0,,,Virgin America,,TaylorLumsden,nan,0,first time flying you all. do you have a different rate/policy for media Bags? Thanks,,2015-02-23 11:22:16,"Dallas, Texas",Mountain Time (US & Canada)
569935232033366017,negative,1.0,Customer Service Issue,1.0,Virgin America,,meme_meng,nan,0,what is going on with customer service? Is htere anyway to speak to a human asap? Thank you.,,2015-02-23 11:02:02,,
569934395865493504,neutral,1.0,,,Virgin America,,kyle_romanoff,nan,0,what happened to Doom?!,,2015-02-23 10:58:43,,
569933816963342337,negative,1.0,Customer Service Issue,1.0,Virgin America,,GunsNDip,nan,0,why can't you supp the biz traveler like and have customer service like #neverflyvirginforbusiness,,2015-02-23 10:56:25,,Pacific Time (US & Canada)
569933777931145216,positive,1.0,,,Virgin America,,artisticwritr87,nan,0,I've applied more hten once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,2015-02-23 10:56:16,"Seattle, WA",Pacific Time (US & Canada)
569933405506310144,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,nan,0,you're the best!! Whenever I (begrudgingly) use any ohter airline I'm delayed and Late Flight :(,,2015-02-23 10:54:47,Los Angeles,
569933360564342784,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,nan,0,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2015-02-23 10:54:36,,Pacific Time (US & Canada)
569929243146088448,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,nan,0,it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2015-02-23 10:38:14,,Pacific Time (US & Canada)
569926998824394752,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jsatk,nan,0,Im having trouble adding this flight my wife booked to my Elevate account. Help?,"[0.0, 0.0]",2015-02-23 10:29:19,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
569923394990419968,neutral,0.6705,,0.0,Virgin America,,serenaklal,nan,0,Can't bring up my reservation online using Flight Booking Problems code,,2015-02-23 10:15:00,Chicago,Eastern Time (US & Canada)
569922008588222465,neutral,1.0,,,Virgin America,,openambit1,nan,0,Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share,,2015-02-23 10:09:30,,
569920824905306113,neutral,0.6545,,0.0,Virgin America,,cabowine,nan,0,I <3 Flying VA But Life happens and I am trying to #change my trip JPERHI Can you help.VA home page will not let me ?,,2015-02-23 10:04:47,"Los Cabos,Mexico",Arizona
569919041244147712,negative,1.0,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,nan,0,Why is the site down? When will it be back up?,,2015-02-23 09:57:42,"New York, NY",Arizona
569915941192015872,neutral,1.0,,,Virgin America,,RamotControl,nan,0,"""You down with RNP?"" ""Yeah you know me!""",,2015-02-23 09:45:23,,Pacific Time (US & Canada)
569913339427434496,neutral,0.6639,,0.0,Virgin America,,losermelon,nan,0,"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,2015-02-23 09:35:03,,
569911816937033728,negative,1.0,Cancelled Flight,1.0,Virgin America,,AlisonK33774854,nan,0,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when ohter flights went out to jfk on Saturday .,,2015-02-23 09:29:00,,
569911674158731264,negative,1.0,Late Flight,1.0,Virgin America,,GunsNDip,nan,0,"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2015-02-23 09:28:26,,Pacific Time (US & Canada)
569911218942517248,neutral,0.6765,,0.0,Virgin America,,yazdanagh,nan,0,why is flight 345 redirected?,,2015-02-23 09:26:37,,
569910981868060673,negative,1.0,Customer Service Issue,0.6863,Virgin America,,MerchEngines,nan,0,"Is it me, or is your website down? BTW, your new website isn't a great user experience. Time for another redesign.",,2015-02-23 09:25:41,"Los Angeles, CA",Arizona
569909224521641984,negative,1.0,Customer Service Issue,0.6771,Virgin America,,ColorCartel,nan,0,I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile,,2015-02-23 09:18:42,"Austin, TX",Mountain Time (US & Canada)
569907336485019648,negative,1.0,Can't Tell,0.659,Virgin America,,MustBeSpoken,nan,0,- Let 2 scanned in passengers leave the plane than told someone to remove hteir bag from 1st class bin? #uncomfortable,,2015-02-23 09:11:12,,
569896805611089920,negative,1.0,Flight Booking Problems,0.6714,Virgin America,,mattbunk,nan,0,What is your phone number. I can't find who to call about a flight reservation.,,2015-02-23 08:29:21,"Sterling Heights, MI",Eastern Time (US & Canada)
569894449620369408,negative,1.0,Customer Service Issue,1.0,Virgin America,,louisjenny,nan,0,is anyone doing anything htere today? Website is useless and no one is answering the phone.,,2015-02-23 08:19:59,Washington DC,Quito
569894407001939968,neutral,1.0,,,Virgin America,,STravelsW,nan,0,trying to add my boy Prince to my ressie. SF this Thursday from LAX,,2015-02-23 08:19:49,"Manhattan Beach, CA",
569892199690678272,negative,1.0,Late Flight,0.6882,Virgin America,,GunsNDip,nan,0,why must a traveler miss a flight to Late Flight check a bag? I missed my morning appointments and you lost my business. #sfo2lax,,2015-02-23 08:11:03,,Pacific Time (US & Canada)
569891469210755074,neutral,1.0,,,Virgin America,,joeyrenagade,nan,0,check out new music,,2015-02-23 08:08:08,Greater Los Angeles,
569891436100874241,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,nan,0,how's a direct flight FLL->SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",2015-02-23 08:08:01,Floridian from Cincinnati ,Eastern Time (US & Canada)
569887310713479168,negative,1.0,Late Flight,0.3486,Virgin America,,GunsNDip,nan,0,your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three ohter people on flight had same exp.,,2015-02-23 07:51:37,,Pacific Time (US & Canada)
569887049446076416,positive,1.0,,,Virgin America,,hteDuchessSF,nan,0,"- amazing customer service, again! RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",,2015-02-23 07:50:35,Online,Pacific Time (US & Canada)
569884551712886785,negative,1.0,Customer Service Issue,1.0,Virgin America,,BeLeahter,nan,0,called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",2015-02-23 07:40:39,,Pacific Time (US & Canada)
569884407852437504,negative,1.0,Flight Booking Problems,0.6366,Virgin America,,BeLeahter,nan,0,your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",2015-02-23 07:40:05,,Pacific Time (US & Canada)
569881548515708928,neutral,0.6593,,0.0,Virgin America,,drcaseydrake,nan,0,I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weahter. Looks like flight still on?,"[37.79374402, -122.39327564]",2015-02-23 07:28:43,"Dallas, TX",
569873669700358144,positive,0.6823,,0.0,Virgin America,,flyfromWAS,nan,0,"has getaway deals through May, from $59 one-way. Lots of cool cities #CheapFlights #FareCompare",,2015-02-23 06:57:25,"Washington, DC",Eastern Time (US & Canada)
569873668131717120,neutral,1.0,,,Virgin America,,flyfromSEA,nan,0,"has getaway deals through May, from $59 one-way. Lots of cool cities #CheapFlights #FareCompare",,2015-02-23 06:57:24,Seattle,Central Time (US & Canada)
569873665640292353,positive,0.6806,,,Virgin America,,flyfromNYC,nan,0,"has getaway deals through May, from $59 one-way. Lots of cool cities #CheapFlights #FareCompare",,2015-02-23 06:57:24,"New York City, NY",Central Time (US & Canada)
569873664612704256,neutral,0.6529,,,Virgin America,,flyfromLAX,nan,0,"has getaway deals through May, from $59 one-way. Lots of cool cities #CheapFlights #FareCompare",,2015-02-23 06:57:24,"Los Angeles, CA",Central Time (US & Canada)
569872058613673984,positive,0.6779999999999999,,,Virgin America,,Silvanabfer,nan,0,Have a great week,,2015-02-23 06:51:01,,
569861209781989377,positive,0.3482,,0.0,Virgin America,,AdamJdubs,nan,0,come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback,,2015-02-23 06:07:54,Earth,Eastern Time (US & Canada)
569847920192655361,negative,1.0,Late Flight,1.0,Virgin America,,nicholas_v,nan,0,"should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]",2015-02-23 05:15:06,,Eastern Time (US & Canada)
569814339785338880,positive,1.0,,,Virgin America,,tstashajones,nan,0,"is the best airline I have flown on.Easy to change your reservation,helpful representatives & a comfortable flying experience",,2015-02-23 03:01:39,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
569777607371128834,positive,1.0,,,Virgin America,,SkateMamas,nan,0,and again! Anohter rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,2015-02-23 00:35:42,"Los Angeles, CA",
569774078233419776,positive,1.0,,,Virgin America,,dngoo,nan,0,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,2015-02-23 00:21:40,"Near a park, water, or lights",Pacific Time (US & Canada)
569770363623575552,positive,1.0,,,Virgin America,,SamBrittenham,nan,0,"Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,2015-02-23 00:06:55,USA,Eastern Time (US & Canada)
569748316776325120,negative,0.6832,Customer Service Issue,0.3773,Virgin America,,usagibrian,nan,0,Use another browser! 2015 & a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,,2015-02-22 22:39:18,San Francisco CA,Pacific Time (US & Canada)
569741221783957504,negative,1.0,Flight Booking Problems,0.6767,Virgin America,,usagibrian,nan,0,"And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",,2015-02-22 22:11:07,San Francisco CA,Pacific Time (US & Canada)
569737603617943552,negative,1.0,Customer Service Issue,0.6527,Virgin America,,KindofLuke,nan,0,I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,,2015-02-22 21:56:44,,
569714127792254976,positive,1.0,,,Virgin America,,ptbrodie,nan,0,thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,2015-02-22 20:23:27,San Francisco,
569675144353828864,positive,1.0,,,Virgin America,,cheryleng,nan,0,you have the absolute best team and customer service ever. Every time I fly with you I'm delighted. Thank you!,"[33.9469039, -118.40716847]",2015-02-22 17:48:33,,Pacific Time (US & Canada)
569674358135914496,neutral,1.0,,,Virgin America,,HishamSharaby,nan,0,"Do you provide complimentary upgrades to first class, if htere are available seats?",,2015-02-22 17:45:25,New York,Eastern Time (US & Canada)
569666477265018881,negative,0.6703,Customer Service Issue,0.6703,Virgin America,,ChrisFordisHere,nan,0,i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,"[51.04345575, -114.06071363]",2015-02-22 17:14:06,NYC,Tehran
569652497947734017,positive,1.0,,,Virgin America,,JKF1897,nan,0,completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,2015-02-22 16:18:33,,
569649116487290880,neutral,1.0,,,Virgin America,,F6x,nan,0,How can I watch the #Oscars2015 on my JFK->SFO flight?,"[40.64662464, -73.77090177]",2015-02-22 16:05:07,"San Francisco, CA",Pacific Time (US & Canada)
569643262459269120,neutral,0.6535,,0.0,Virgin America,,lawyang588,nan,0,is flight 882 Cancelled Flightled and what do I do if it is?,,2015-02-22 15:41:51,,
569642845516275712,negative,1.0,Customer Service Issue,0.6448,Virgin America,,melokudo,nan,0,you are failing your customers because your check in process does not link to TSA pre-check.,,2015-02-22 15:40:12,,Eastern Time (US & Canada)
569634318349246464,negative,1.0,Can't Tell,1.0,Virgin America,,ChrysiChrysic,nan,0,us too! Terrible airline! Just gave us a hotel hotline number and said sorry,,2015-02-22 15:06:19,,
569633630978310145,neutral,1.0,,,Virgin America,,nikkisixxfan93,nan,0,has flight number 276 from SFO to Cabo San Lucas arrived yet?,,2015-02-22 15:03:35,"Sacramento,California",Pacific Time (US & Canada)
569633279546036224,negative,1.0,Cancelled Flight,0.6875,Virgin America,,ChrysiChrysic,nan,0,your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!,,2015-02-22 15:02:11,,
569630092273410048,negative,1.0,Late Flight,1.0,Virgin America,,MOCBlogger,nan,0,Anohter delayed flight? #likingyoulessandless,,2015-02-22 14:49:31,San Diego,Alaska
569627480425766912,negative,1.0,Customer Service Issue,1.0,Virgin America,,tfaz,nan,0,I need to register a service dog for a first class ticket from SFO > Dulles. the phone queue is an hour or longer. Pls advise,,2015-02-22 14:39:09,"Oakland, California",Pacific Time (US & Canada)
